Totaal,Handsoorten,,"Terug-
vangst",Landen,,Kleurring,Locaties,Vangmethoden,Aantal zelf geringd,,,,,
,80,,,4,,5,8,8,,21,uniek,71,5,21
3739,,,942,,,200,,,1718,76,door mij,1718,91,76
Datum,Soort,"Nieuwe
projectsoort","Terug-
vangst",Buitenland,Ringnummer,Kleurring,Locatie,Vangmethode,Ringer,"Zoönose
door mij",Bijzonderheid,Ringsoorten,Kleurring,Zoönose
,,,j,land,,kleurcode,,,,j,,,,
08-05-2021,Staartmees,1,j,,ARX350,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Grasmus,1,j,,BJ47123,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Roodborst,1,,,BL92775,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Geelgors,1,,,V982115,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Merel,1,j,,L588634,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Tjiftjaf,1,j,,ARX469,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Winterkoning,1,,,ARX472,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Zwartkop,1,j,,BJ47733,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Tuinfluiter,1,,,BL92777,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Boomklever,1,j,,V982105,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Pimpelmees,1,,,BL92780,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Goudvink,1,,,V982116,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Koolmees,1,j,,BJ47968,,"Hackfort, Vorden",Hand,Wouter Lebbink,,,,,
08-05-2021,Fitis,1,,,ARX473,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Boomkruiper,1,j,,ARX318,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Zwartkop,2,j,,BL92015,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,Eerste zelf uit net gehaald,,,
08-05-2021,Grasmus,2,,,BL92776,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Merel,2,j,,L549020,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Tjiftjaf,2,j,,ARX366,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Tuinfluiter,2,j,,BJ47762,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Staartmees,2,j,,APL702,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Koolmees,2,j,,BL92284,,"Hackfort, Vorden",Hand,Wouter Lebbink,,,,,
08-05-2021,Fitis,2,,,ARX474,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Pimpelmees,2,j,,BL92772,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Zwartkop,3,j,,BJ47339,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Grasmus,3,,,BL92781,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Koolmees,3,,,BL92783,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Pimpelmees,3,,,BL92785,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Zwartkop,4,,,BL92778,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Pimpelmees,4,j,,BL92699,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Zwartkop,5,j,,BL92762,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Pimpelmees,5,,,BJ47965,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Zwartkop,6,,,BL92779,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Zwartkop,7,j,,BL92015,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Zwartkop,8,j,,BJ47834,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Zwartkop,9,,,BL92782,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
08-05-2021,Zwartkop,10,,,BL92784,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
15-05-2021,Zanglijster,1,j,,L588699,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
15-05-2021,Gekraagde Roodstaart,1,,,BL92788,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
15-05-2021,Heggenmus,1,j,,BJ47789,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
15-05-2021,Zanglijster,2,,,L588702,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
15-05-2021,Boomkruiper,2,,,ARX475,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
15-05-2021,Winterkoning,2,,,ARX476,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
15-05-2021,Tuinfluiter,3,j,,BJ47765,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
15-05-2021,Merel,3,,,L588701,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
15-05-2021,Tjiftjaf,3,j,,APL731,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
15-05-2021,Boomkruiper,3,j,,ARX458,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
15-05-2021,Grasmus,4,,,BL92786,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,Eerste zelf gemeten,,,
15-05-2021,Koolmees,4,j,,BJ47968,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
15-05-2021,Merel,4,j,,L588703,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
15-05-2021,Koolmees,5,,,BJ47920,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
15-05-2021,Grasmus,5,j,,BJ47123,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
15-05-2021,Merel,5,j,,L549020,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
15-05-2021,Koolmees,6,j,,BJ47920,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
15-05-2021,Koolmees,7,j,,BL92787,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
15-05-2021,Zwartkop,11,j,,BL92015,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
15-05-2021,Zwartkop,12,,,BL92789,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
30-05-2021,Geelgors,2,j,,V982030,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
30-05-2021,Roodborst,2,,,BL92805,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
30-05-2021,Goudvink,2,,,V982118,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
30-05-2021,Winterkoning,3,,,ARX477,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
30-05-2021,Geelgors,3,,,V982117,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
30-05-2021,Zanglijster,3,j,,L588699,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
30-05-2021,Tuinfluiter,4,j,,BL92777,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
30-05-2021,Tuinfluiter,5,j,,BJ47769,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
30-05-2021,Grasmus,6,,,BL92799,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
30-05-2021,Pimpelmees,6,j,,BL92722,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
30-05-2021,Merel,6,j,,L549050,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
30-05-2021,Grasmus,7,,,BL92801,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
30-05-2021,Merel,7,j,,L588703,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
30-05-2021,Grasmus,8,,,BL92804,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
30-05-2021,Koolmees,8,j,,BJ47968,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
30-05-2021,Merel,8,,,L588704,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
30-05-2021,Grasmus,9,j,,BL92786,,"Hackfort, Vorden",Mistnet,Thijs ter Avest,,Eerste zelf op leeftijd,Grasmus,,
30-05-2021,Koolmees,9,j,,BL92210,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
30-05-2021,Merel,9,,,L588705,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
30-05-2021,Grasmus,10,,,BL92806,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
30-05-2021,Zwartkop,13,,,BL92797,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
30-05-2021,Zwartkop,14,,,BL92798,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
30-05-2021,Zwartkop,15,,,BL92800,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
30-05-2021,Zwartkop,16,,,BL92802,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
30-05-2021,Zwartkop,17,,,BL92803,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
06-06-2021,Spotvogel,1,,,BL92818,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
06-06-2021,Vink,1,,,V982121,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
06-06-2021,Boomklever,2,,,V982119,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
06-06-2021,Roodborst,3,,,BL92812,,"Hackfort, Vorden",Mistnet,Wouter Lebbink,,,,,
