Totaal,Handsoorten,,"Terug-
vangst",Landen,,Kleurring,Locaties,Vangmethoden,Aantal zelf geringd,,,,,
,30,,,4,,1,3,2,,0,uniek,9,1,0
103,,,31,,,4,,,18,0,door mij,18,1,0
Datum,Soort,"Nieuwe
projectsoort","Terug-
vangst",Buitenland,Ringnummer,Kleurring,Locatie,Vangmethode,Ringer,"Zoönose
door mij",Bijzonderheid,Ringsoorten,Kleurring,Zoönose
,,,j,land,,kleurcode,,,,j,,,,
26-06-2022,Bosrietzanger,1,j,Duitsland,90836842,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Bosrietzanger,2,j,Duitsland,90836842,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Bosrietzanger,3,,Duitsland,90836867,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Boomkruiper,1,,Duitsland,V212832,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Geelgors,1,,Duitsland,T107903,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Kleine Karekiet,1,j,Duitsland,90836867,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Kleine Karekiet,2,j,Duitsland,90836856,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Kleine Karekiet,3,j,België,16509626,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Kleine Karekiet,4,j,België,16786249,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Tuinfluiter,1,j,Duitsland,90836836,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Winterkoning,1,,Duitsland,90836898,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Merel,1,,Duitsland,7962825,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Merel,2,,Duitsland,7962826,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Merel,3,,Duitsland,7962826,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Merel,4,,Duitsland,7962827,,"Bocholter Aa, Duitsland",Mistnet,Thijs ter Avest,,Eerste Duitse (Helgoland) ring,Merel,,
26-06-2022,Vink,1,,Duitsland,82288582,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Tjiftjaf,1,,Duitsland,V212828,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Tjiftjaf,2,,Duitsland,V212829,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Tjiftjaf,3,,Duitsland,V212830,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Tjiftjaf,4,,Duitsland,V212831,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Tjiftjaf,5,,Duitsland,V212833,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Tjiftjaf,6,,Duitsland,V212834,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Tjiftjaf,7,,Duitsland,V212835,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Tjiftjaf,8,,Duitsland,V212836,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Tjiftjaf,9,,Duitsland,V212837,,"Bocholter Aa, Duitsland",Mistnet,Thijs ter Avest,,,Tjiftjaf,,
26-06-2022,Roodborst,1,,Duitsland,90836897,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Roodborst,2,,Duitsland,90836900,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Roodborst,3,,Duitsland,90836901,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Zwartkop,1,,Duitsland,90836899,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Zwartkop,2,,Duitsland,90836902,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Koolmees,1,,Duitsland,82288574,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Koolmees,2,,Duitsland,82288575,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Koolmees,3,,Duitsland,82288554,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Koolmees,4,j,Duitsland,82288576,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Koolmees,5,,Duitsland,82288577,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Koolmees,6,,Duitsland,82288578,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Koolmees,7,,Duitsland,82288579,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Koolmees,8,,Duitsland,82288580,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Koolmees,9,j,Duitsland,82288576,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
26-06-2022,Koolmees,10,,Duitsland,82288581,,"Bocholter Aa, Duitsland",Mistnet,Markus Schwirdewan,,,,,
