Status,EURING_Code,Current_Name,Date_Updated,Notes,Old_Name,IOC,English_Name
a,00000,Unknown species,02.06.2008,,Species unknown,NA,NA
sp,00010,Struthio camelus,02.06.2008,,Struthio camelus,1,Common Ostrich
sp,00020,Gavia stellata,02.06.2008,,Gavia stellata,7293,Red-throated Loon
o,00021,Gavia stellata stellata,14.11.2023,Obsolete code. Monotypic species in the current classification.,Gavia stellata stellata,NA,NA
o,00022,Gavia stellata squamata,14.11.2023,Obsolete code. Subspecies no longer recognized.,Gavia stellata squamata,NA,NA
sp,00030,Gavia arctica,02.06.2008,,Gavia arctica,7294,Black-throated Loon
ssp,00031,Gavia arctica arctica,20.07.2009,,Gavia arctica arctica,7295,NA
ssp,00032,Gavia arctica viridigularis,20.07.2009,,Gavia arctica viridigularis,7296,NA
sp,00033,Gavia pacifica,14.11.2023,,Gavia arctica pacifica,7297,Pacific Loon
sp,00040,Gavia immer,02.06.2008,,Gavia immer,7299,Common Loon
sp,00050,Gavia adamsii,02.06.2008,,Gavia adamsii,7300,Yellow-billed Loon
a,00059,Gavia sp.,02.06.2008,,Gavia sp.,NA,NA
sp,00060,Podilymbus podiceps,02.06.2008,,Podilymbus podiceps,6218,Pied-billed Grebe
sp,00070,Tachybaptus ruficollis,02.06.2008,,Tachybaptus ruficollis,6191,Little Grebe
sp,00080,Tachybaptus dominicus,02.06.2008,,Tachybaptus dominicus,6212,Least Grebe
sp,00090,Podiceps cristatus,02.06.2008,,Podiceps cristatus,6236,Great Crested Grebe
sp,00100,Podiceps grisegena,02.06.2008,,Podiceps grisegena,6233,Red-necked Grebe
sp,00110,Podiceps auritus,02.06.2008,,Podiceps auritus,6240,Horned Grebe
sp,00120,Podiceps nigricollis,02.06.2008,,Podiceps nigricollis,6243,Black-necked Grebe
a,00129,Podicipedidae sp.,14.11.2023,Extent of code has changed over time. All former Podiceps species were included.,Podiceps sp.,NA,NA
sp,00130,Aechmophorus occidentalis,14.11.2023,Excludes Aechmophorus clarkii,Aechmophorus occidentalis,6256,Western Grebe
sp,00140,Thalassarche melanophris,02.06.2008,,Diomedea melanophris,7410,Black-browed Albatross
a,00150,Thalassarche chlororhynchos/carteri,02.06.2008,,Diomedea chlororhynchos,NA,NA
sp,00151,Thalassarche chlororhynchos,14.11.2023,Excludes Thalassarche carteri,Thalassarche chlororhynchos,7393,Atlantic Yellow-nosed Albatross
sp,00152,Thalassarche carteri,17.01.2019,Formerly Diomedea chlororhynchos bassi,Thalassarche carteri,7395,Indian Yellow-nosed Albatross
sp,00160,Thalassarche cauta,02.06.2008,,Diomedea cauta,7402,Shy Albatross
sp,00170,Phoebastria nigripes,02.06.2008,,Diomedea nigripes,7389,Black-footed Albatross
sp,00180,Phoebastria immutabilis,02.06.2008,,Diomedea immutabilis,7388,Laysan Albatross
