KAARTNR	EURING	SOORT	PROV	LAND	JAAR	PIDCODE	PLAATS	PERCEELNR	ATLASBLOK	KMHOK	X_COORD	Y_COORD	X_DEG	Y_DEG	NAUWK	NESTNR	LEGSELNR	DAG_1E_EI	MAAND_1E_E	EISTARTMARGE	EIMETHODE	LEGSELGR	BEZOEKENKLAAR	BRD_SUCCES	OPM_BROEDSUCCES	MOMENT_V_M	UITGEVL	ALLESGERINGD	BESCHERM	OPM_BESCHERMING	VERLIES	OPM_NESTVERLIES	PREDATIE	RINGDAG	RINGMAAND	HABITAT	OPM_HABITAT	NESTPLAATS	OPM_NESTPLAATS	NEST	OPM_NEST	KASTTYPE	VERSTOPT	NESTSTAAT	HOOGTE	HOOGNAUWK	HOE_GEVOND	OPM_HOEGEVONDEN	LINK_KAART	LINK_TYPE	PENNR	CONTROLE	AANGEMAAKT	MAAKMETHODE	GEWIJZIGD	LOCK	OUDNR	KOLONIENR	PLOTNR	ALGZELF1	ALGZELF2	ALGZELF3	ALGZELF4	ALGZELF5	NESTZELF1	NESTZELF2	NESTZELF3	NESTZELF4	NESTZELF5	SUCCESZELF1	SUCCESZELF2	SUCCESZELF3	SUCCESZELF4	SUCCESZELF5	OPM_KAART	BEZOEKDAG	BEZOEKMAAN	DATUM_BETR	BEZOEKUUR	EI	EI_BETR	EI_DOOD	EI_DVERW	JONG	JONG_BETR	JONG_DOOD	JONG_DVERW	LEEFTIJD	LEEFT_BETR	BROED_1	BROED_2	BEZOEKTYPE	ZELF1	ZELF2	ZELF3	OPM_BEZOEK	CENTRALE	RINGNR	RINGPOSITIE	RINGTYPE	KLEURRING	STEMPEL	LEEFTIJD_KLASSE	SEXE	SEXEMETHODE	TMD	RINGERSNR	PROJECTNR	EXPORTED	KLEURVANDAAG	STEMPVANDAAG	ZELF1_1	ZELF2_1	ZELF3_1	ZELF4	ZELF5	OPM_RINGEN	VLEUGEL	PEN	SNAVEL	KOP	TARSUS	GEWICHT	CONDITIE	KROP	OPM_BIOMETRIE	EINUMMER	EIDAG	VINDSTATUS	HOOGTE_1	BREEDTE	GEWICHT_1	VOLGNR	RINGNR_1	EISUCCES	SUCCESMAAND	SUCCESDAG	ZELF1_2	ZELF2_2	ZELF3_2	ZELF4_1	ZELF5_1	OPM_EIEREN	PROOIGROEP	PROOISOORT	SEXE_1	LEEFTIJD_1	PROOITYPE	GEWICHT_2	MAAT1	LENGTE1	MAAT2	LENGTE2	CENTRALE_PROOI	RINGNR_PROOI	AANTAL	VOLGNR_1	RINGERSNR_1	PROJECTNR_1	EXPORTED_1	ZELF1_3	ZELF2_3	ZELF3_3	ZELF4_2	ZELF5_2	OPM_PROOI	ZELF1_4	ZELF2_4	ZELF3_4	ZELF4_3	ZELF5_3	ZELF6	ZELF7	ZELF8	ZELF9	ZELF10	
1	6700	Houtduif	GL	NL	2025	GAVT00	Voorst	Stakenborgweg 1a	4142	31	225,692	432,624	6,4144	51,8786	1	1	0												1		G1			11	5	54		6		0			2	2	4	10	2					56	0-0-0000	2	26-5-2025	0																			Tegen gevel paardenstal	11	5	1	12	0	1	0		2	1	0		6	1	N5	P1	6					NLA	...5059754	RO	1			2	O	0	0	3254	1926	1									54				21,3	133,8	1																																																					
1	6700	Houtduif	GL	NL	2025	GAVT00	Voorst	Stakenborgweg 1a	4142	31	225,692	432,624	6,4144	51,8786	1	1	0												1		G1			11	5	54		6		0			2	2	4	10	2					56	0-0-0000	2	26-5-2025	0																			Tegen gevel paardenstal	11	5	1	12	0	1	0		2	1	0		6	1	N5	P1	6					NLA	...5059755	RO	1			2	O	0	0	3254	1926	1									70				24,4	173,1	1																																																					
1	6700	Houtduif	GL	NL	2025	GAVT00	Voorst	Stakenborgweg 1a	4142	31	225,692	432,624	6,4144	51,8786	1	1	0												1		G1			11	5	54		6		0			2	2	4	10	2					56	0-0-0000	2	26-5-2025	0																			Tegen gevel paardenstal	25	5	1	11		7			2	1			19	3	N6	P0	2																																																																																					
2	11220	Gekraagde Roodstaart	GL	NL	2025	GAVT00	Voorst	Stakenborgweg 1a	4142	31	225,698	432,658	6,4139	51,878	1	2	0												1		G1					54		11	kippenhok	2	2	0	1	3			2					0	12-5-2025	1	2-6-2025	0																			Kippenhok ouders.	11	5	1	12	7	1	0		0	1	0			7	E4	P0	1																																																																																					
2	11220	Gekraagde Roodstaart	GL	NL	2025	GAVT00	Voorst	Stakenborgweg 1a	4142	31	225,698	432,658	6,4139	51,878	1	2	0												1		G1					54		11	kippenhok	2	2	0	1	3			2					0	12-5-2025	1	2-6-2025	0																			Kippenhok ouders.	24	5	1	11	1	1			6	1			1	2	N1	P1	1																																																																																					
3	14640	Koolmees	GL	NL	2025	GAVT00	Voorst	Stakenborgweg 1a	4142	31	225,693	432,655	6,4139	51,8779	1	3	0						1	4			8		1					11	5	54		13		2	3	1	1	2	1	10	2					56	12-5-2025	1	26-5-2025	0																			Wijnkistje bij mesthoop ouders	11	5	1	12	0	1	0		8	1	0		8	2	N5	P0	6					NLA	S...611117	RO	1			2	O	0	0	3254	1926	1									48				20,1	16	1																																																					
3	14640	Koolmees	GL	NL	2025	GAVT00	Voorst	Stakenborgweg 1a	4142	31	225,693	432,655	6,4139	51,8779	1	3	0						1	4			8		1					11	5	54		13		2	3	1	1	2	1	10	2					56	12-5-2025	1	26-5-2025	0																			Wijnkistje bij mesthoop ouders	11	5	1	12	0	1	0		8	1	0		8	2	N5	P0	6					NLA	S...611118	RO	1			2	O	0	0	3254	1926	1									46				21	17,2	1																																																					
3	14640	Koolmees	GL	NL	2025	GAVT00	Voorst	Stakenborgweg 1a	4142	31	225,693	432,655	6,4139	51,8779	1	3	0						1	4			8		1					11	5	54		13		2	3	1	1	2	1	10	2					56	12-5-2025	1	26-5-2025	0																			Wijnkistje bij mesthoop ouders	11	5	1	12	0	1	0		8	1	0		8	2	N5	P0	6					NLA	S...611119	RO	1			2	O	0	0	3254	1926	1									48				20,6	17,3	1																																																					
3	14640	Koolmees	GL	NL	2025	GAVT00	Voorst	Stakenborgweg 1a	4142	31	225,693	432,655	6,4139	51,8779	1	3	0						1	4			8		1					11	5	54		13		2	3	1	1	2	1	10	2					56	12-5-2025	1	26-5-2025	0																			Wijnkistje bij mesthoop ouders	11	5	1	12	0	1	0		8	1	0		8	2	N5	P0	6					NLA	S...611120	RO	1			2	O	0	0	3254	1926	1									47				19,6	15,3	1																																																					
3	14640	Koolmees	GL	NL	2025	GAVT00	Voorst	Stakenborgweg 1a	4142	31	225,693	432,655	6,4139	51,8779	1	3	0						1	4			8		1					11	5	54		13		2	3	1	1	2	1	10	2					56	12-5-2025	1	26-5-2025	0																			Wijnkistje bij mesthoop ouders	11	5	1	12	0	1	0		8	1	0		8	2	N5	P0	6					NLA	S...611121	RO	1			2	O	0	0	3254	1926	1									46				20	15,8	1																																																					
